8.664333224296569824e-01,8.691999912261962891e-01
9.258999824523925781e-01,9.239999651908874512e-01
9.482833147048950195e-01,9.459999799728393555e-01
9.687500000000000000e-01,9.639999866485595703e-01
9.813333153724670410e-01,9.738000035285949707e-01
9.893500208854675293e-01,9.775999784469604492e-01
9.947833418846130371e-01,9.777999520301818848e-01
9.967499971389770508e-01,9.827999472618103027e-01
9.970166683197021484e-01,9.796999692916870117e-01
9.970333576202392578e-01,9.824999570846557617e-01
9.975166916847229004e-01,9.826999902725219727e-01
9.959333539009094238e-01,9.786999821662902832e-01
9.948833584785461426e-01,9.821999669075012207e-01
9.952833652496337891e-01,9.772999882698059082e-01
