4.028666615486145020e-01,4.068999886512756348e-01
6.906833648681640625e-01,6.861999630928039551e-01
8.639667034149169922e-01,8.608999848365783691e-01
9.290333390235900879e-01,9.226999878883361816e-01
9.654166698455810547e-01,9.569999575614929199e-01
9.871333241462707520e-01,9.692999720573425293e-01
9.977166652679443359e-01,9.746999740600585938e-01
9.997667074203491211e-01,9.802999496459960938e-01
1.000000000000000000e+00,9.822999835014343262e-01
1.000000000000000000e+00,9.831999540328979492e-01
1.000000000000000000e+00,9.848999977111816406e-01
1.000000000000000000e+00,9.868999719619750977e-01
9.992666840553283691e-01,9.853000044822692871e-01
9.961333274841308594e-01,9.788999557495117188e-01
